  Time                  (V(MagIn))@1          (V(MagIn))@2         
  7.202983150023e-007  1.306474582340e+002  1.306474583005e+002  
  7.237483063477e-007  1.307132966840e+002  1.307132967740e+002  
  7.271982976931e-007  1.308692304120e+002  1.308692304916e+002  
  7.306482890385e-007  1.311036585603e+002  1.311036585675e+002  
  7.340982803839e-007  1.313991675667e+002  1.313991675201e+002  
  7.349286725827e-007  1.314784706020e+002  1.314784705568e+002  
  7.365894069978e-007  1.316425910357e+002  1.316425910164e+002  
  7.383786639281e-007  1.318232669238e+002  1.318232669300e+002  
  7.418286552735e-007  1.321571102856e+002  1.321571102693e+002  
  7.424150499411e-007  1.322116687275e+002  1.322116686997e+002  
  7.435877713271e-007  1.323172897528e+002  1.323172897125e+002  
  7.459332140990e-007  1.325107735164e+002  1.325107734794e+002  
  7.493832054444e-007  1.327276243278e+002  1.327276242894e+002  
  7.528331967898e-007  1.328485927467e+002  1.328485926783e+002  
  7.562831881352e-007  1.328531426758e+002  1.328531425845e+002  
  7.596650066682e-007  1.327339929613e+002  1.327339929175e+002  
  7.631149980136e-007  1.324868539117e+002  1.324868539521e+002  
  7.665649893590e-007  1.321231281893e+002  1.321231282570e+002  
  7.700149807044e-007  1.316677779760e+002  1.316677779969e+002  
  7.734649720498e-007  1.311392909016e+002  1.311392908532e+002  
  7.769149633952e-007  1.305745736286e+002  1.305745735365e+002  
  7.803649547406e-007  1.300058803112e+002  1.300058802096e+002  
  7.838149460860e-007  1.294607838622e+002  1.294607838895e+002  
  7.872649374314e-007  1.289619889051e+002  1.289619891927e+002  
  7.907149287768e-007  1.285284059399e+002  1.285284064330e+002  
  7.941649201222e-007  1.281845987313e+002  1.281845990697e+002  
  7.976149114676e-007  1.279330436372e+002  1.279330435421e+002  
  8.010649028130e-007  1.277708246680e+002  1.277708242229e+002  
  8.045148941584e-007  1.276838088856e+002  1.276838084584e+002  
  8.079648855038e-007  1.276657154299e+002  1.276657152121e+002  
